epoch,dice_background,dice_coefficient,dice_tumor,loss,mean_iou,val_dice_background,val_dice_coefficient,val_dice_tumor,val_loss,val_mean_iou
5,0.9961821436882019,0.9093343615531921,0.8224875330924988,0.1322767734527588,0.7990022301673889,0.9895787835121155,0.4947931468486786,7.380675924650859e-06,0.7090798616409302,0.48974835872650146
6,0.9963367581367493,0.9133850932121277,0.8304339051246643,0.12696672976016998,0.8587638735771179,0.9931032657623291,0.6917036175727844,0.39030376076698303,0.43457165360450745,0.6699976325035095
7,0.9963481426239014,0.9141048789024353,0.831861674785614,0.12472497671842575,0.860457718372345,0.9928852319717407,0.7061560153961182,0.4194267988204956,0.41411253809928894,0.6851546764373779
8,0.9964607954025269,0.9166968464851379,0.836932897567749,0.12082307785749435,0.865025520324707,0.993976354598999,0.766391396522522,0.538806676864624,0.3290508985519409,0.7323760986328125
9,0.9964755773544312,0.9168809652328491,0.8372868299484253,0.12114962190389633,0.8653625249862671,0.9935720562934875,0.7304431796073914,0.46731457114219666,0.3807348310947418,0.7033349871635437
10,0.9965524077415466,0.9187847375869751,0.8410166501998901,0.11733464896678925,0.8681313991546631,0.9903355240821838,0.5483470559120178,0.10635869204998016,0.6333984732627869,0.5288596153259277
11,0.9965780377388,0.9191537499427795,0.8417287468910217,0.11833620816469193,0.8683549165725708,0.9902375936508179,0.5367578864097595,0.08327796310186386,0.6504507064819336,0.5234339237213135
12,0.9965873956680298,0.9194167256355286,0.842246413230896,0.11743909865617752,0.8688712120056152,0.9895023107528687,0.6193844676017761,0.24926668405532837,0.5341041684150696,0.5755561590194702
13,0.9964925646781921,0.9176278710365295,0.8387646079063416,0.11765163391828537,0.8667398691177368,0.9942997097969055,0.7794056534767151,0.5645111799240112,0.31028804183006287,0.7591170072555542
14,0.9965441226959229,0.9188955426216125,0.8412469625473022,0.11614556610584259,0.869443416595459,0.9967068433761597,0.8872178792953491,0.7777280807495117,0.1597868800163269,0.8602805137634277
15,0.9965718388557434,0.9196836352348328,0.8427963256835938,0.11475618183612823,0.8692652583122253,0.995172381401062,0.8123539090156555,0.6295355558395386,0.2647232115268707,0.7853294610977173
16,0.9966710209846497,0.9216111302375793,0.8465508818626404,0.11201472580432892,0.8723469972610474,0.9947074055671692,0.820193350315094,0.6456792950630188,0.2526029646396637,0.7827102541923523
17,0.996681272983551,0.9225181937217712,0.848355233669281,0.11085464060306549,0.8721004724502563,0.9954599142074585,0.8255375623703003,0.6556153297424316,0.24585561454296112,0.7926174402236938
18,0.9967203140258789,0.9227482080459595,0.8487769365310669,0.11017618328332901,0.8744831085205078,0.9957508444786072,0.8355632424354553,0.6753755807876587,0.2313614934682846,0.8112871646881104
19,0.9967240691184998,0.9228119850158691,0.8489000201225281,4.999987504561432e-05,0.10939191281795502,0.8735741376876831,0.9964014291763306,0.8666799664497375,0.7369593977928162,0.18767793476581573,0.8400319814682007
20,0.9967091679573059,0.922321081161499,0.8479310870170593,4.9999503971775994e-05,0.11039828509092331,0.8726432919502258,0.9934377670288086,0.7762850522994995,0.5591325163841248,0.31322652101516724,0.7422434091567993
21,0.9967511892318726,0.9236075282096863,0.8504632711410522,4.9998889153357595e-05,0.10821752995252609,0.875708818435669,0.995974600315094,0.857263445854187,0.7185525894165039,0.2012890875339508,0.8276983499526978
22,0.9967557787895203,0.9234994053840637,0.8502433896064758,4.9998026952380314e-05,0.108332559466362,0.8740588426589966,0.9943282604217529,0.7760469913482666,0.5577660202980042,0.31375938653945923,0.749078631401062
23,0.9967638254165649,0.9237060546875,0.8506471514701843,4.999691009288654e-05,0.10806891322135925,0.8757750988006592,0.9960009455680847,0.8518556356430054,0.7077106833457947,0.20845641195774078,0.8221495747566223
24,0.996804416179657,0.9240753650665283,0.8513466119766235,4.99955567647703e-05,0.10755624622106552,0.876158595085144,0.995728611946106,0.8284043669700623,0.6610810160636902,0.2420436441898346,0.8011665344238281
25,0.9968293905258179,0.9250595569610596,0.8532894849777222,4.999395241611637e-05,0.10640057176351547,0.8777256011962891,0.996329128742218,0.8691166043281555,0.7419036626815796,0.18411317467689514,0.8396685123443604
26,0.9968036413192749,0.9249536395072937,0.85310298204422,4.999210432288237e-05,0.10611699521541595,0.8771483898162842,0.9967401027679443,0.8860509395599365,0.7753617763519287,0.16072210669517517,0.8575823307037354
